rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
0.0-2.4;6.5-35.0;0.30-0.44;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.03];[1.89,1.0,3.0];[2.03];[1.10];[0.85,0.0,1.0]
0.0-2.4;6.5-35.0;0.44-0.58;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.03];[1.89,1.0,3.0];[2.03];[1.20];[0.85,0.0,1.0]
0.0-2.4;6.5-35.0;0.58-0.72;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.05];[1.89,1.0,3.0];[2.03];[1.34];[0.85,0.0,1.0]
0.0-2.4;6.5-35.0;0.72-0.86;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.03];[1.89,1.0,3.0];[2.03];[1.43];[0.85,0.0,1.0]
0.0-2.4;6.5-35.0;0.86-1.00;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.03];[1.89,1.0,3.0];[2.03];[2.19];[0.85,0.0,1.0]
