rap;pt;zed;jetpt;jetrap;cent;Model_BkgNoPR_PP;
1.6-2.4;3.0-35.0;0.20-0.40;35.0-45.0;0.0-2.4;0-100;TripleDecay;
1.6-2.4;3.0-35.0;0.40-0.60;35.0-45.0;0.0-2.4;0-100;TripleDecay;
1.6-2.4;3.0-35.0;0.60-0.80;35.0-45.0;0.0-2.4;0-100;TripleDecay;
1.6-2.4;3.0-35.0;0.80-1.00;35.0-45.0;0.0-2.4;0-100;TripleDecay;
