rap;pt;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
0.0-1.6;6.5-35.0;0-100;DoubleCrystalBall;;[3.09,3.04,3.1];[0.020,0.010,0.050];[1.89,1.0,3.0];[1.97];[1.49];[0.5,0.2,1.0]
1.6-2.4;3.0-35.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.010,0.060];[1.89,1.0,3.0];[2.18];[1.29];[0.5,0.2,1.0]
