rap;pt;cent;Model_Bkg_PP;N_Bkg_PP;lambda1_Bkg_PP;lambda2_Bkg_PP;lambda3_Bkg_PP;lambda4_Bkg_PP;lambda5_Bkg_PP;lambda6_Bkg_PP
0.0-1.6;6.5-35.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
1.6-2.4;3.0-35.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
