rap;pt;cent;Model_CtauTrueRes_PP;Model_CtauTrue_PP;sigmaB_JpsiNoPR_PP;sigmaB_Psi2SNoPR_PP;lambdaDSS_JpsiNoPR_PP;lambdaDSS_Psi2SNoPR_PP;
0.0-1.6;6.5-35.0;0-100;Delta;SingleSidedDecay;
1.6-2.4;3.0-35.0;0-100;Delta;SingleSidedDecay;
