rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
1.6-2.4;3.0-35.0;0.16-0.30;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,3.0];[2.25];[1.25,0.0,3.0];[0.85,0.3,1.0]
1.6-2.4;3.0-35.0;0.30-0.44;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,3.0];[2.25];[1.25,0.0,3.0];[0.85,0.3,1.0]
1.6-2.4;3.0-35.0;0.44-0.58;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,3.0];[2.25];[1.25,0.0,3.0];[0.85,0.5,1.0]
1.6-2.4;3.0-35.0;0.58-0.72;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,3.0];[2.25];[2.00,0.0,3.0];[0.85,0.5,1.0]
1.6-2.4;3.0-35.0;0.72-0.86;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,3.0];[2.25];[1.25,0.0,5.0];[0.85,0.4,1.0]
1.6-2.4;3.0-35.0;0.86-1.00;25.0-35.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.62,1.0,3.0];[2.25];[0.57,0.0,2.5];[0.50,0.0,1.0]
