rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
0.0-2.4;6.5-35.0;0.40-1.00;35.0-45.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.89,1.0,3.0];[2.001];[0.5,0.0,3.0];[0.85,0.5,1.0]
0.0-2.4;6.5-35.0;0.40-0.60;35.0-45.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.030];[1.89,1.0,3.0];[2.001];[1.25,0.0,3.0];[0.85,0.5,1.0]
0.0-2.4;6.5-35.0;0.60-0.80;35.0-45.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.030];[1.89,1.0,3.0];[2.001];[1.25,0.0,3.0];[0.85,0.4,1.0]
0.0-2.4;6.5-35.0;0.80-1.00;35.0-45.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.040];[1.89,1.0,3.0];[2.001];[0.5,0.0,7.0];[0.85,0.4,1.0]
