rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
1.6-2.4;3.0-35.0;0.20-1.00;15.0-25.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.12];[0.040,0.015,0.06];[1.89,1.0,3.5];[2.227];[1.25,0.0,3.0];[0.85,0.5,1.0]
1.6-2.4;3.0-35.0;0.20-0.40;15.0-25.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,3.0];[2.227];[1.25,0.0,3.0];[0.85,0.3,1.0]
1.6-2.4;3.0-35.0;0.40-0.60;15.0-25.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,3.0];[2.227];[1.25,0.0,3.0];[0.85,0.5,1.0]
1.6-2.4;3.0-35.0;0.60-0.80;15.0-25.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,3.0];[2.227];[2.00,0.0,3.0];[0.85,0.5,1.0]
1.6-2.4;3.0-35.0;0.80-1.00;15.0-25.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,3.0];[2.227];[1.25,0.0,5.0];[0.85,0.4,1.0]
