rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
1.6-2.4;3.0-35.0;0.20-1.00;35.0-45.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.12];[0.040,0.015,0.06];[1.89,1.0,3.5];[2.385];[1.25,0.0,3.0];[0.85,0.5,1.0]
1.6-2.4;3.0-35.0;0.20-0.40;35.0-45.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,0.1,5.0];[2.385];[1.25,0.0,3.0];[0.85,0.3,1.0]
1.6-2.4;3.0-35.0;0.40-0.60;35.0-45.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.060];[1.89,1.0,3.0];[2.385];[1.25,0.0,3.0];[0.85,0.5,1.0]
1.6-2.4;3.0-35.0;0.60-0.80;35.0-45.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.040,0.015,0.065];[1.89,0.5,3.5];[2.385];[2.00,0.0,3.0];[0.85,0.5,1.0]
1.6-2.4;3.0-35.0;0.80-1.00;35.0-45.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.12];[0.040,0.015,0.061];[1.89,0.5,4.0];[2.385];[1.25,0.0,5.0];[0.85,0.4,1.0]
