rap;pt;zed;jetpt;jetrap;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
0.0-2.4;6.5-100.0;0.064-0.220;30.0-40.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.03];[1.89,1.0,3.0];[2.03];[1.10];[0.85,0.0,1.0]
0.0-2.4;6.5-100.0;0.220-0.376;30.0-40.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.03];[1.89,1.0,3.0];[2.03];[1.20];[0.85,0.0,1.0]
0.0-2.4;6.5-100.0;0.376-0.532;30.0-40.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.05];[1.89,1.0,3.0];[2.03];[1.34];[0.85,0.0,1.0]
0.0-2.4;6.5-100.0;0.532-0.688;30.0-40.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.03];[1.89,1.0,3.0];[2.03];[1.43];[0.85,0.0,1.0]
0.0-2.4;6.5-100.0;0.688-0.844;30.0-40.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.03];[1.89,1.0,3.0];[2.03];[2.19];[0.85,0.0,1.0]
0.0-2.4;6.5-100.0;0.844-1.000;30.0-40.0;0.0-2.4;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.01,0.03];[1.89,1.0,3.0];[2.03];[2.19];[0.85,0.0,1.0]
