rap;pt;zed;jetpt;jetrap;cent;Model_CtauTrueRes_PbPb;Model_CtauTrue_PbPb;sigmaB_JpsiNoPR_PbPb;sigmaB_Psi2SNoPR_PbPb;lambdaDSS_JpsiNoPR_PbPb;lambdaDSS_Psi2SNoPR_PbPb;
0.0-2.4;6.5-35.0;0.30-0.44;25.0-35.0;0.0-2.4;0-100;Delta;SingleSidedDecay;
0.0-2.4;6.5-35.0;0.44-0.58;25.0-35.0;0.0-2.4;0-100;Delta;SingleSidedDecay;
0.0-2.4;6.5-35.0;0.58-0.72;25.0-35.0;0.0-2.4;0-100;Delta;SingleSidedDecay;
0.0-2.4;6.5-35.0;0.72-0.86;25.0-35.0;0.0-2.4;0-100;Delta;SingleSidedDecay;
0.0-2.4;6.5-35.0;0.86-1.00;25.0-35.0;0.0-2.4;0-100;Delta;SingleSidedDecay;
