rap;pt;zed;jetpt;jetrap;cent;Model_JpsiNoPR_PP;
0.0-2.4;6.5-100.0;0.064-0.220;30.0-40.0;0.0-2.4;0-100;SingleSidedDecay;
0.0-2.4;6.5-100.0;0.220-0.376;30.0-40.0;0.0-2.4;0-100;SingleSidedDecay;
0.0-2.4;6.5-100.0;0.376-0.532;30.0-40.0;0.0-2.4;0-100;SingleSidedDecay;
0.0-2.4;6.5-100.0;0.532-0.688;30.0-40.0;0.0-2.4;0-100;SingleSidedDecay;
0.0-2.4;6.5-100.0;0.688-0.844;30.0-40.0;0.0-2.4;0-100;SingleSidedDecay;
0.0-2.4;6.5-100.0;0.844-1.000;30.0-40.0;0.0-2.4;0-100;SingleSidedDecay;
