6.5  7.5  10.039  0.117
7.5  8.5  5.222  0.053
8.5  9.5  2.83  0.029
9.5  11  1.443  0.013
11  13  0.595  0.006
13  15  0.247  0.003
15  17.5  0.104  0.001
17.5  20  0.044  0.001 
20  25  0.016  0
25  30  0.005  0
30  35  0.002  0 
35  50  0  0
